Autonomie_batterie,Nb_coeurs,Marque,Ville_vente,Reconditionne,Garantie_disponible,Frequence_CPU,Nb_appareils_photo,Reconnaissance_faciale,Gamme,Etat_esthetique,Score_performance,Charge_rapide,Double_SIM,Stockage_interne,Prix
39.0,7,Samsung Galaxy,Casablanca,1.0,0,804.72,4,1.0,Supérieure,53,113.08,0,1,512,8599.36
49.0,5,Xiaomi Redmi,Agadir,0.0,1,1096.95,0,0.0,Moyenne,56,33.35,1,0,128,4713.32
49.0,8,Oppo,Casablanca,1.0,1,712.72,2,1.0,Moyenne,87,57.26,0,1,128,4831.37
46.0,2,Honor,Casablanca,0.0,1,915.82,4,1.0,Entrée,83,57.82,0,0,256,3286.84
49.0,2,Honor,Rabat,0.0,1,1356.69,3,0.0,Entrée,94,62.92,0,1,256,3335.19
37.0,9,Samsung Galaxy,Rabat,0.0,0,778.46,3,1.0,Supérieure,49,52.92,0,1,256,9385.82
66.0,9,Samsung Galaxy,Marrakech,0.0,1,1245.83,2,1.0,Supérieure,13,59.8,0,1,512,9271.11
53.0,5,Xiaomi Redmi,Rabat,0.0,0,1115.11,3,0.0,Moyenne,40,52.3,0,1,1000,6362.55
71.0,7,Xiaomi Redmi,Agadir,0.0,0,757.17,1,1.0,Moyenne,58,77.24,1,0,256,6267.25
47.0,2,Honor,Casablanca,1.0,1,779.03,2,1.0,Moyenne,86,53.64,1,0,1000,4927.7
33.0,8,Honor,Marrakech,1.0,0,314.88,1,1.0,Entrée,77,55.79,1,1,256,2504.17
61.0,5,Samsung Galaxy,Marrakech,1.0,1,1138.53,0,0.0,Supérieure,28,72.81,1,0,1000,7853.4
32.0,1,Honor,Rabat,1.0,1,695.66,4,1.0,Moyenne,9,81.19,1,0,512,4204.69
49.0,5,Samsung Galaxy,Casablanca,0.0,0,1239.38,3,0.0,Supérieure,25,106.33,1,0,1000,8125.8
47.0,7,Oppo,Marrakech,0.0,1,928.26,4,1.0,Entrée,68,79.17,1,1,256,2611.26
53.0,7,Honor,Agadir,1.0,0,759.49,1,1.0,Entrée,99,72.79,1,1,512,3077.34
45.0,1,iPhone,Rabat,1.0,1,1088.06,0,0.0,Premium,61,61.0,0,0,1000,10106.13
53.0,5,iPhone,Marrakech,0.0,0,1145.31,1,0.0,Supérieure,90,81.11,0,0,512,9001.58
40.0,4,iPhone,Agadir,1.0,0,1115.66,4,1.0,Premium,74,55.8,1,1,128,10389.87
55.0,4,Xiaomi Redmi,Rabat,0.0,1,1261.32,3,0.0,Moyenne,75,93.17,0,0,256,6689.48
73.0,1,Honor,Casablanca,1.0,0,1284.21,4,1.0,Moyenne,85,89.05,1,1,256,4867.58
51.0,4,Honor,Rabat,1.0,1,684.78,4,0.0,Entrée,19,69.96,0,0,128,3710.3
53.0,5,Honor,Rabat,1.0,1,732.0,4,1.0,Entrée,11,74.59,0,0,256,3293.04
59.0,1,Honor,Casablanca,1.0,1,1017.55,0,0.0,Moyenne,74,70.04,0,1,512,4888.94
34.0,7,Samsung Galaxy,Marrakech,1.0,0,983.18,0,0.0,Supérieure,28,51.93,1,1,256,7974.73
58.0,4,Samsung Galaxy,Rabat,0.0,1,1229.02,2,1.0,Supérieure,34,60.34,0,0,128,8485.84
59.0,5,Xiaomi Redmi,Agadir,0.0,0,1205.48,1,1.0,Moyenne,18,66.61,0,0,1000,5240.39
51.0,4,Samsung Galaxy,Agadir,0.0,0,896.39,4,0.0,Supérieure,24,81.42,0,1,128,9702.42
48.0,4,Samsung Galaxy,Rabat,1.0,0,1072.94,3,1.0,Supérieure,30,63.81,1,1,256,8221.95
36.0,2,iPhone,Agadir,1.0,1,1422.15,3,0.0,Premium,76,61.08,1,0,1000,10998.65
57.0,7,Oppo,Casablanca,0.0,1,1031.25,0,1.0,Moyenne,77,78.7,0,0,512,4669.64
46.0,3,Honor,Rabat,0.0,0,1448.88,0,1.0,Entrée,33,113.43,0,1,1000,3800.61
57.0,9,Samsung Galaxy,Casablanca,0.0,1,1066.3,4,1.0,Supérieure,35,69.49,0,0,1000,9800.71
40.0,2,Samsung Galaxy,Agadir,0.0,1,935.52,0,1.0,Supérieure,47,74.74,0,1,512,8000.58
52.0,4,Samsung Galaxy,Rabat,0.0,1,1047.77,4,1.0,Supérieure,70,65.48,1,1,512,9533.01
61.0,1,Samsung Galaxy,Marrakech,1.0,1,1166.32,4,1.0,Supérieure,76,50.18,1,1,256,7865.56
,1,iPhone,Marrakech,0.0,1,947.82,3,1.0,Premium,68,77.25,1,1,1000,11004.82
57.0,5,iPhone,Rabat,0.0,0,639.44,4,1.0,Premium,42,86.94,1,1,1000,10206.77
43.0,7,Honor,Agadir,1.0,1,1085.51,3,1.0,Entrée,17,56.13,0,0,512,3704.54
42.0,4,Oppo,Rabat,0.0,1,1012.19,2,0.0,Moyenne,34,86.87,0,1,512,4570.52
53.0,3,Honor,Agadir,0.0,0,845.67,2,1.0,Entrée,17,85.64,1,1,128,3882.72
